"Stanice","Srazky_za_posledni_hodinu","Srazky_za_12_hodin","Srazky_za_24_hodin","Novy_snih_cm","Celkova_snehova_pokryvka_cm","date_stamp"
"Maruška","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Pec pod Sněžkou","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Luká","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Plzeň-Mikulka","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Čáslav","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Kuchařovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Ústí nad Labem","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Liberec","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Tušimice","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Praha-Libuš","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Přimda","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Kocelovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Pardubice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Svratouch","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Cheb","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Doksany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Karlovy Vary","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Holešov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Polom","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Košetice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Kopisty"," "," ","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Dukovany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Praha-Kbely","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Ústí nad Orlicí","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Lysá hora","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"České Budějovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Přibyslav","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Jičín","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","19/10/2021 05:00:00"
"Lysá hora","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Praha-Ruzyně","0,0 mm","0,4 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"České Budějovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Churáňov","0,2 mm","0,0 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Praha-Kbely","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Kocelovice","neměřitelné","neměřitelné","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Kopisty"," ","0,0 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Pec pod Sněžkou","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Kuchařovice","neměřitelné","0,0 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Karlovy Vary","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Košetice","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Milešovka"," ","2 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Doksany","0,0 mm","0,6 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Ústí nad Labem","0,0 mm","0,3 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Čáslav","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
"Polom","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","11/10/2021 20:00:00"
